Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
04-Jul-24,EQ,"2,153.05","2,168.00","2,136.20","2,143.20","2,136.20","2,148.90","2,151.84","2,277.00","1,706.05","1,63,588","35,20,14,489.10","14,287"
03-Jul-24,EQ,"2,168.00","2,178.05","2,124.40","2,158.50","2,142.00","2,143.20","2,145.82","2,277.00","1,706.05","1,84,122","39,50,93,253.10","15,430"
02-Jul-24,EQ,"2,214.90","2,220.85","2,145.05","2,197.30","2,156.00","2,158.50","2,176.32","2,277.00","1,682.05","3,20,792","69,81,47,629.10","22,298"
01-Jul-24,EQ,"2,052.00","2,277.00","2,052.00","2,051.30","2,200.25","2,197.30","2,206.99","2,277.00","1,675.00","17,09,284","3,77,23,78,185.85","1,09,661"
28-Jun-24,EQ,"2,088.00","2,088.00","2,045.00","2,068.85","2,045.00","2,051.30","2,059.06","2,255.00","1,675.00","1,01,857","20,97,29,778.80","9,634"
27-Jun-24,EQ,"2,122.50","2,126.95","2,043.85","2,122.50","2,067.00","2,068.85","2,077.93","2,255.00","1,675.00","1,92,861","40,07,51,924.00","15,973"
26-Jun-24,EQ,"2,155.00","2,193.00","2,107.00","2,148.00","2,117.00","2,122.50","2,145.76","2,255.00","1,675.00","2,90,506","62,33,57,281.80","22,005"
25-Jun-24,EQ,"2,099.00","2,206.80","2,071.20","2,063.50","2,148.20","2,148.00","2,149.49","2,255.00","1,675.00","11,74,612","2,52,48,17,196.35","69,810"
24-Jun-24,EQ,"2,038.00","2,085.00","2,014.95","2,038.15","2,058.00","2,063.50","2,062.98","2,255.00","1,675.00","2,69,785","55,65,60,115.65","22,533"
21-Jun-24,EQ,"2,020.05","2,069.95","2,004.20","2,009.10","2,028.00","2,038.15","2,039.15","2,255.00","1,675.00","1,99,984","40,77,97,819.05","18,492"
20-Jun-24,EQ,"2,039.95","2,048.75","2,004.00","2,033.80","2,009.05","2,009.10","2,021.56","2,255.00","1,675.00","1,30,060","26,29,24,672.60","12,901"
19-Jun-24,EQ,"2,070.00","2,070.00","2,028.50","2,063.85","2,031.00","2,033.80","2,042.19","2,255.00","1,675.00","1,18,518","24,20,36,760.75","10,609"
18-Jun-24,EQ,"2,070.00","2,092.75","2,049.90","2,062.75","2,058.90","2,063.85","2,065.77","2,255.00","1,675.00","1,87,181","38,66,73,585.40","16,392"
14-Jun-24,EQ,"2,072.75","2,099.00","2,030.50","2,062.35","2,056.00","2,062.75","2,072.52","2,255.00","1,675.00","2,29,655","47,59,63,600.20","20,698"
13-Jun-24,EQ,"2,084.00","2,085.00","2,045.10","2,076.95","2,061.00","2,062.35","2,064.24","2,255.00","1,675.00","1,55,006","31,99,69,152.60","13,426"
12-Jun-24,EQ,"2,080.00","2,099.20","2,070.00","2,082.70","2,077.75","2,076.95","2,082.84","2,255.00","1,675.00","2,12,244","44,20,71,024.90","15,785"
11-Jun-24,EQ,"2,100.10","2,119.90","2,050.00","2,043.65","2,070.15","2,082.70","2,082.44","2,255.00","1,675.00","6,85,297","1,42,70,91,247.05","41,374"
10-Jun-24,EQ,"2,030.00","2,098.00","1,973.00","2,024.75","2,098.00","2,043.65","2,018.36","2,255.00","1,675.00","6,43,702","1,29,92,25,230.00","38,911"
07-Jun-24,EQ,"2,151.00","2,255.00","2,007.90","2,147.60","2,018.00","2,024.75","2,087.10","2,255.00","1,675.00","15,91,824","3,32,23,00,477.85","81,966"
06-Jun-24,EQ,"2,019.95","2,183.00","2,010.00","1,979.45","2,146.50","2,147.60","2,131.41","2,190.00","1,675.00","5,95,525","1,26,93,10,120.10","49,052"
05-Jun-24,EQ,"1,950.00","1,995.00","1,870.00","1,939.60","1,975.00","1,979.45","1,946.76","2,190.00","1,675.00","2,11,881","41,24,80,809.40","19,671"
04-Jun-24,EQ,"2,093.00","2,093.00","1,800.05","2,094.05","1,940.00","1,939.60","1,962.20","2,190.00","1,675.00","4,40,880","86,50,96,870.85","41,653"
03-Jun-24,EQ,"2,190.00","2,190.00","2,080.00","2,091.55","2,098.00","2,094.05","2,108.69","2,190.00","1,665.00","2,83,014","59,67,87,657.00","24,361"
31-May-24,EQ,"2,039.75","2,109.00","1,985.00","2,039.75","2,080.00","2,091.55","2,051.26","2,148.90","1,665.00","4,64,466","95,27,42,504.80","35,233"
30-May-24,EQ,"2,080.00","2,110.60","2,031.70","2,081.20","2,041.00","2,039.75","2,065.79","2,148.90","1,665.00","2,48,402","51,31,46,844.35","17,104"
29-May-24,EQ,"2,124.15","2,124.80","2,056.25","2,117.15","2,078.00","2,081.20","2,084.41","2,148.90","1,665.00","3,55,229","74,04,41,881.60","24,395"
28-May-24,EQ,"2,140.00","2,148.90","2,057.00","2,117.20","2,115.00","2,117.15","2,110.62","2,148.90","1,665.00","9,88,458","2,08,62,55,074.90","52,392"
27-May-24,EQ,"1,980.00","2,142.60","1,967.40","1,966.40","2,128.00","2,117.20","2,096.35","2,142.60","1,665.00","25,07,476","5,25,65,54,406.45","1,18,346"
24-May-24,EQ,"1,920.90","2,045.40","1,916.05","1,901.90","1,965.00","1,966.40","1,993.19","2,113.95","1,665.00","11,49,682","2,29,15,38,392.40","64,400"
